DEPOT,CODE,TYPE,GROUP,TEU,STATUS,FOODGRADE,IDLEDAYS,LEASECONTRACT,OWNERSHIP,SOC,BUILDDATE
DEHAM001,TLEU3122164,20OT,OPEN_TOP,1,Not Blocked,yes,91,C46735845,Leased,no,03/12/2004
DEHAM001,ITAU6112489,20OT,OPEN_TOP,1,Out of Fleet,no,88,C48152484,Leased,no,21/12/1999
DEHAM001,HAMU1412644,20OT,OPEN_TOP,1,Not Blocked,no,39,C90663291,Leased,no,04/05/2003
DEHAM001,MSAU7754978,20OT,OPEN_TOP,1,Not Blocked,no,10,C25314730,Leased,no,16/01/2000
DEHAM001,TLEU9424955,20OT,OPEN_TOP,1,Out of Fleet,no,43,C64753787,Leased,no,17/01/1995
DEHAM001,HPJU7715752,20OT,OPEN_TOP,1,Not Blocked,no,59,C83919825,Leased,no,15/12/2001
DEHAM001,MSAU4916023,20OT,OPEN_TOP,1,Not Blocked,no,10,C26818754,Leased,no,16/06/2016
DEHAM001,MRKU1412941,20OT,OPEN_TOP,1,Not Blocked,yes,48,C89471709,Leased,no,23/07/1987
DEHAM001,CJYU9127693,20OT,OPEN_TOP,1,Not Blocked,no,64,C75121429,Leased,no,23/03/1997
DEHAM001,CSQU7059112,20OT,OPEN_TOP,1,Not Blocked,no,58,C78611278,Leased,no,09/11/1986
DEHAM001,MSAU9125086,20OT,OPEN_TOP,1,Not Blocked,yes,76,C47516040,Leased,no,05/03/1982
DEHAM001,MSFU4966386,20OT,OPEN_TOP,1,Not Blocked,no,65,C73853514,Leased,no,07/01/2007
DEHAM001,COZU5477162,20OT,OPEN_TOP,1,Not Blocked,yes,5,C28154958,Leased,no,24/02/2004
DEHAM001,CJYU4856771,20OT,OPEN_TOP,1,Not Blocked,no,30,C15372243,Leased,no,03/11/1989
DEHAM001,SCMU8091149,20OT,OPEN_TOP,1,Not Blocked,no,30,C30810064,Leased,no,24/06/2003
DEHAM001,CSQU5490198,20OT,OPEN_TOP,1,Not Blocked,yes,75,C18168083,Leased,no,07/05/1990
DEHAM001,ITAU7079112,20OT,OPEN_TOP,1,Not Blocked,yes,2,C27240861,Leased,no,16/04/1999
DEHAM001,COZU4993025,20OT,OPEN_TOP,1,Not Blocked,no,74,C21539261,Leased,no,30/01/2010
DEHAM001,HLBU3649589,20OT,OPEN_TOP,1,Not Blocked,yes,45,C98403234,Leased,no,17/11/2011
DEHAM001,ITAU3124752,20OT,OPEN_TOP,1,Out of Fleet,yes,86,C13240442,Leased,no,28/12/2009
DEHAM001,CSNU8884928,20OT,OPEN_TOP,1,Not Blocked,yes,91,C57482812,Leased,no,09/08/2005
DEHAM001,CSQU3449934,40OT,OPEN_TOP,2,Not Blocked,no,43,C78748936,Leased,no,13/03/2007
DEHAM001,TLEU1649103,40OT,OPEN_TOP,2,Not Blocked,yes,80,C77423528,Leased,no,07/04/2011
DEHAM001,ITAU3197714,40OT,OPEN_TOP,2,Not Blocked,no,18,C36754387,Leased,no,08/12/2003
DEHAM001,MSFU2713600,40OT,OPEN_TOP,2,Not Blocked,yes,80,C17960051,Leased,no,11/11/2005
DEHAM001,MSWU1671597,40OT,OPEN_TOP,2,Not Blocked,yes,55,C56733354,Leased,no,19/09/2000
DEHAM001,MSWU7418149,40OT,OPEN_TOP,2,Damaged,no,31,C69295806,Leased,no,16/06/1983
DEHAM001,HLXU2207129,40OT,OPEN_TOP,2,Not Blocked,yes,18,C17708700,Leased,no,27/05/2003
DEHAM001,MSFU4312665,40OT,OPEN_TOP,2,Not Blocked,yes,61,C70723414,Leased,no,23/03/1984
DEHAM001,MRKU4171316,40OT,OPEN_TOP,2,Not Blocked,no,62,C19765261,Leased,no,03/04/2004
DEHAM001,HLXU8718843,40OT,OPEN_TOP,2,Not Blocked,yes,78,C73371953,Leased,no,24/12/2013
DEHAM001,MSAU7491680,40OT,OPEN_TOP,2,Not Blocked,no,44,C30145467,Leased,no,13/08/2017
DEHAM001,MRKU8391261,40OT,OPEN_TOP,2,Not Blocked,no,10,C52666719,Leased,no,08/04/1990
DEHAM001,CSNU3619671,40OT,OPEN_TOP,2,Not Blocked,no,9,C35788867,Leased,no,13/06/2008
DEHAM001,HAMU1344412,20PC,FLAT-RACK,1,Not Blocked,yes,67,C90545139,Leased,no,27/05/2013
DEHAM001,TLEU5125750,20PC,FLAT-RACK,1,Not Blocked,no,27,C39063101,Leased,no,28/09/2010
DEHAM001,HLXU8912013,20PC,FLAT-RACK,1,Not Blocked,yes,60,C58049318,Leased,no,23/04/2014
DEHAM001,MRKU2128646,20PC,FLAT-RACK,1,Not Blocked,no,88,C76224553,Leased,no,25/05/2006
DEHAM001,MSFU9471442,20PC,FLAT-RACK,1,Not Blocked,yes,70,C79301191,Leased,no,15/01/1988
DEHAM001,HLXU9004749,20PC,FLAT-RACK,1,Not Blocked,yes,39,C35094148,Leased,no,30/04/1982
DEHAM001,CJYU4116718,40PC,FLAT-RACK,2,Not Blocked,no,52,C72433193,Leased,no,27/01/1992
DEHAM001,HLXU9123253,40PC,FLAT-RACK,2,Not Blocked,no,3,C54573104,Leased,no,28/07/2000
DEHAM001,HAMU1129829,40PW,HC_PALLET_WIDE,2,Not Blocked,yes,80,C38603652,Leased,no,11/04/1998
DEHAM001,MSAU4783671,40PW,HC_PALLET_WIDE,2,Not Blocked,yes,58,C21263180,Leased,no,07/12/1981
DEHAM001,CJYU9719393,40PW,HC_PALLET_WIDE,2,Not Blocked,yes,18,C79450886,Leased,no,10/02/1990
DEHAM001,MSWU6649807,40PW,HC_PALLET_WIDE,2,Not Blocked,no,100,C84644543,Leased,no,14/01/1990
DEHAM001,MSAU2112049,40PW,HC_PALLET_WIDE,2,Not Blocked,no,35,C21476657,Leased,no,25/04/2014
DEHAM001,MSAU2871565,40PW,HC_PALLET_WIDE,2,Not Blocked,yes,65,C47532991,Leased,no,18/01/2004
DEHAM001,HLBU9660849,40PW,HC_PALLET_WIDE,2,Not Blocked,yes,28,C78738959,Leased,no,17/07/1997
DEHAM001,MSAU4812396,45PW,HC_PALLET_WIDE,2,Damaged,yes,34,C37156525,Leased,no,09/01/2016
DEHAM001,CSQU3644967,45PW,HC_PALLET_WIDE,2,Not Blocked,no,6,C44877527,Leased,no,18/04/2007
DEHAM001,MRKU9127876,45PW,HC_PALLET_WIDE,2,Not Blocked,no,28,C66950788,Leased,no,03/12/1999
DEHAM001,CSNU3718943,45PW,HC_PALLET_WIDE,2,Not Blocked,no,1,C62715584,Leased,no,18/05/2019
DEHAM001,MSWU4991628,45PW,HC_PALLET_WIDE,2,Not Blocked,no,35,C99970177,Leased,no,08/04/1987
DEHAM001,HPJU1250237,45PW,HC_PALLET_WIDE,2,Not Blocked,no,40,C99488657,Leased,no,15/05/1989
DEHAM001,MSAU4767495,45PW,HC_PALLET_WIDE,2,Not Blocked,yes,49,C77910007,Leased,no,14/01/2010
DEHAM001,MRKU9907175,45PW,HC_PALLET_WIDE,2,Not Blocked,yes,27,C17822982,Leased,no,20/02/1995
DEHAM001,HLXU6874937,45PW,HC_PALLET_WIDE,2,Not Blocked,no,95,C48764486,Leased,no,10/05/1996
DEHAM001,MSFU7142200,45PW,HC_PALLET_WIDE,2,Not Blocked,no,93,C22621611,Leased,no,20/04/2016
DEHAM001,CJYU9517130,45PW,HC_PALLET_WIDE,2,Not Blocked,yes,32,C92511135,Leased,no,30/08/1997
DEHAM001,MSWU5757163,45PW,HC_PALLET_WIDE,2,Not Blocked,yes,17,C87053060,Leased,no,17/11/2014
DEHAM001,CSNU8449432,45PW,HC_PALLET_WIDE,2,Not Blocked,yes,45,C47809759,Leased,no,08/09/1981
DEHAM001,ITAU4049068,45PW,HC_PALLET_WIDE,2,Not Blocked,no,36,C99310242,Leased,no,10/02/2005
DEHAM001,SCMU6254926,45PW,HC_PALLET_WIDE,2,Not Blocked,no,81,C27572624,Leased,no,05/08/1994
DEHAM001,CSQU4331259,45PW,HC_PALLET_WIDE,2,Not Blocked,no,4,C69968118,Leased,no,17/05/1993
DEHAM001,HPJU1267892,20KL,TANK,1,Not Blocked,no,71,C48173139,Leased,no,18/11/2003
DEHAM001,MSWU9498709,20KL,TANK,1,Not Blocked,yes,46,C86741125,Leased,no,09/07/1982
DEHAM001,MSWU7352717,20KL,TANK,1,Not Blocked,yes,32,C19507163,Leased,no,15/11/2019
DEHAM001,COZU1001270,20KL,TANK,1,Not Blocked,yes,73,C24043756,Leased,no,27/08/1981
DEHAM001,HAMU1390249,20KL,TANK,1,Out of Fleet,yes,29,C74456828,Leased,no,04/11/1998
DEHAM001,TLEU5835249,20KL,TANK,1,Out of Fleet,no,41,C29027585,Leased,no,24/10/2016
DEHAM001,TLEU9490068,20KL,TANK,1,Not Blocked,yes,87,C63072215,Leased,no,05/02/2010
DEHAM001,HLXU2103971,20KL,TANK,1,Not Blocked,yes,4,C42919048,Leased,no,28/03/2018
DEHAM001,HAMU8074612,20KL,TANK,1,Not Blocked,yes,70,C62690780,Leased,no,19/06/1993
DEHAM002,CSNU2931290,20GP,STANDARD,1,Not Blocked,yes,21,C82355135,Leased,no,29/05/1981
DEHAM002,CJYU2769718,20GP,STANDARD,1,Not Blocked,no,34,C32062273,Leased,no,01/01/2008
DEHAM002,SCMU9715917,20GP,STANDARD,1,Not Blocked,yes,38,C53792177,Leased,no,08/03/1981
DEHAM002,COZU1702490,20GP,STANDARD,1,Out of Fleet,yes,3,C43905358,Leased,no,31/08/1993
DEHAM002,CSQU6180125,20GP,STANDARD,1,Not Blocked,yes,19,C42934640,Leased,no,16/03/1993
DEHAM002,HLXU7731718,20GP,STANDARD,1,Not Blocked,no,79,C29746736,Leased,no,04/12/1980
DEHAM002,SCMU1213789,20GP,STANDARD,1,Not Blocked,yes,4,C15907728,Leased,no,06/05/2007
DEHAM002,HLBU4985339,20GP,STANDARD,1,Not Blocked,yes,62,C68247587,Leased,no,03/03/1986
DEHAM002,CSNU4316714,20GP,STANDARD,1,Not Blocked,no,83,C67146443,Leased,no,25/12/1980
DEHAM002,CSNU4092498,20GP,STANDARD,1,Out of Fleet,yes,83,C53414405,Leased,no,25/02/2015
DEHAM002,HAMU6171173,20GP,STANDARD,1,Not Blocked,no,87,C44547848,Leased,no,17/09/2016
DEHAM002,CSQU5198490,20GP,STANDARD,1,Not Blocked,yes,53,C65948422,Leased,no,14/12/1982
DEHAM002,HAMU4993631,20GP,STANDARD,1,Not Blocked,yes,92,C38838262,Leased,no,07/09/2000
DEHAM002,CJYU1115122,20GP,STANDARD,1,Not Blocked,no,96,C77037536,Leased,no,05/11/2000
DEHAM002,HPJU4499500,40GP,STANDARD,2,Not Blocked,no,58,C58035007,Leased,no,09/11/2008
DEHAM002,CSQU7901012,40GP,STANDARD,2,Not Blocked,yes,14,C78902825,Leased,no,31/12/2003
DEHAM002,CSQU6847197,40GP,STANDARD,2,Not Blocked,no,78,C20969902,Leased,no,01/12/2002
DEHAM002,SCMU5930112,40GP,STANDARD,2,Not Blocked,yes,64,C67468868,Leased,no,24/02/1989
DEHAM002,ITAU9312469,40GP,STANDARD,2,Out of Fleet,no,1,C76466308,Leased,no,10/11/2017
DEHAM002,TLEU3496100,40GP,STANDARD,2,Not Blocked,no,64,C66843156,Leased,no,04/03/2000
DEHAM002,MSFU4914031,40GP,STANDARD,2,Not Blocked,no,10,C71288987,Leased,no,16/12/1990
DEHAM002,HLXU9498582,40GP,STANDARD,2,Not Blocked,yes,96,C25975039,Leased,no,02/10/1983
DEHAM002,MSFU1202278,40GP,STANDARD,2,Not Blocked,yes,50,C78621780,Leased,no,26/07/1993
DEHAM002,HLBU1243628,40GP,STANDARD,2,Out of Fleet,no,90,C75417807,Leased,no,15/11/1984
DEHAM002,CJYU7134735,40GP,STANDARD,2,Not Blocked,yes,80,C32321226,Leased,no,10/01/2002
DEHAM002,HAMU4899212,40HC,STANDARD,2,Not Blocked,no,95,C67863036,Leased,no,22/11/1985
DEHAM002,CSNU7498611,40HC,STANDARD,2,Not Blocked,no,61,C54935560,Leased,no,28/02/1997
DEHAM002,MSWU9571615,40HC,STANDARD,2,Not Blocked,yes,76,C34487254,Leased,no,01/09/1999
DEHAM002,CSQU4963081,40HC,STANDARD,2,Damaged,no,1,C99691897,Leased,no,15/06/1989
DEHAM002,CSNU8129912,40HC,STANDARD,2,Damaged,yes,85,C44132020,Leased,no,25/02/2011
DEHAM002,MSFU4950340,40HC,STANDARD,2,Not Blocked,no,79,C59334172,Leased,no,27/12/1998
DEHAM002,ITAU9306049,40HC,STANDARD,2,Not Blocked,yes,66,C99628821,Leased,no,21/07/1999
DEHAM002,MSWU7204938,40HC,STANDARD,2,Not Blocked,yes,68,C30615134,Leased,no,28/10/1982
DEHAM002,CSQU3211280,40HC,STANDARD,2,Not Blocked,no,39,C65241174,Leased,no,24/03/2014
DEHAM002,COZU4946207,40HC,STANDARD,2,Not Blocked,no,48,C68855047,Leased,no,03/04/2006
DEHAM002,COZU4571120,40HC,STANDARD,2,Not Blocked,no,39,C98646044,Leased,no,03/02/2010
DEHAM002,COZU9496972,40HC,STANDARD,2,Not Blocked,no,1,C17334401,Leased,no,18/07/1988
DEHAM002,HLBU7600671,40HC,STANDARD,2,Not Blocked,yes,79,C42400339,Leased,no,25/10/2007
DEHAM002,MSWU1049308,45HC,STANDARD,2,Not Blocked,no,81,C95043562,Leased,no,20/01/2001
DEHAM002,HAMU8412724,45HC,STANDARD,2,Out of Fleet,no,90,C45326096,Leased,no,27/07/2007
DEHAM002,MSWU6312752,45HC,STANDARD,2,Not Blocked,yes,44,C66295068,Leased,no,19/02/2015
DEHAM002,MRKU8512624,45HC,STANDARD,2,Out of Fleet,yes,45,C97509570,Leased,no,11/01/1993
DEHAM002,ITAU9397106,45HC,STANDARD,2,Not Blocked,no,81,C73153771,Leased,no,21/09/2010
DEHAM002,MSWU2828649,45HC,STANDARD,2,Not Blocked,yes,8,C83442648,Leased,no,19/03/1979
DEHAM002,HAMU9422122,45HC,STANDARD,2,Not Blocked,yes,4,C63863806,Leased,no,24/07/1986
DEHAM002,CJYU1298362,45HC,STANDARD,2,Not Blocked,no,49,C37774421,Leased,no,04/01/2017
DEHAM002,CSNU7511283,20RE,REEFER,1,Not Blocked,yes,8,C30208297,Leased,no,16/06/1979
DEHAM002,HAMU5155496,20RE,REEFER,1,Not Blocked,no,30,C77241670,Leased,no,19/12/1982
DEHAM002,MRKU1225632,20RE,REEFER,1,Not Blocked,yes,32,C66687585,Leased,no,27/07/1985
DEHAM002,MRKU6710381,20RE,REEFER,1,Damaged,yes,52,C65450957,Leased,no,12/08/1981
DEHAM002,CSQU4962782,20RE,REEFER,1,Not Blocked,no,29,C18828548,Leased,no,09/08/1993
DEHAM002,HLBU7491151,20RE,REEFER,1,Not Blocked,no,59,C45261556,Leased,no,01/11/1985
DEHAM002,MRKU3127292,20RE,REEFER,1,Not Blocked,no,29,C65026205,Leased,no,28/04/1982
DEHAM002,MRKU1649522,20RE,REEFER,1,Not Blocked,no,24,C48551637,Leased,no,16/07/2016
DEHAM002,CSQU9126933,40RH,REEFER,2,Not Blocked,no,46,C62213808,Leased,no,02/07/2004
DEHAM002,SCMU3464112,40RH,REEFER,2,Not Blocked,no,58,C55318417,Leased,no,21/07/1980
DEHAM002,CSNU6126389,40RH,REEFER,2,Not Blocked,no,53,C21448814,Leased,no,30/07/1999
